라아,57,173
타다,84,146
라파,45,144
하파,40,199
자아,79,161
바사,53,176
자마,59,142
다하,49,193
파나,53,146
나하,53,155
파사,63,199
파차,78,149
바아,91,170
타나,61,149
사마,89,152
아마,93,169
마자,45,195
다자,77,145
나타,53,199
하하,91,190
나하,73,152
가아,85,158
가사,87,163
나아,58,151
하바,94,153
타파,59,182
카다,78,177
사라,89,174
사바,99,181
사차,97,158
다하,69,147
파가,50,147
바아,85,182
아아,72,159
마파,59,162
하차,69,158
카자,68,142
사자,96,169
가차,56,160
차마,40,199
사사,89,171
라자,64,195
바파,42,179
카다,75,142
사타,67,190
사자,50,151
카차,52,149
차마,77,167
아마,63,182
자다,95,172
카가,54,156
사파,61,171
카마,44,140
가라,49,167
사다,67,199
타자,78,180
차다,70,179
아다,96,176
가가,70,161
나라,96,181
자차,60,189
바카,40,163
마파,87,162
가사,68,186
아아,87,187
파파,71,184
파하,68,169
사아,55,180
차차,59,189
나자,47,179
사타,93,198
가다,81,176
다카,70,197
아마,95,167
차다,43,179
하바,45,188
라파,58,171
타타,80,164
다사,94,140
가카,54,193
다마,86,146
가마,83,194
아라,80,143
다자,74,150
자하,66,189
파사,92,165
라라,42,160
하파,65,155
자다,62,144
가마,58,180
자카,64,151
가다,59,179
자타,84,189
라자,81,179
자하,88,147
가바,65,199
가나,63,170
라파,59,166
자타,70,159
파가,42,173
라라,76,181
마파,98,176
다사,95,187
파마,76,166
카라,60,150
하차,62,198
가타,84,171
바사,96,147
차바,96,190
마다,93,158
타타,42,188
다마,87,149
다다,79,169
라다,48,183
하파,80,197
타사,99,183
라파,85,160
나카,55,154
자다,55,189
가사,63,159
나다,58,158
라바,83,153
파타,92,142
타카,86,174
가타,67,176
사타,45,166
하카,68,162
마가,88,199
타자,56,180
마하,80,147
마자,64,188
카자,40,187
아바,60,157
차사,70,141
아카,83,180
사자,88,159
하타,99,158
차하,61,169
라차,61,144
나나,54,183
자라,72,156
바마,92,140
자가,90,141
하카,47,164
타카,57,141
라라,44,143
타카,62,175
아사,77,155
카다,87,183
다나,98,166
아바,68,140
다카,79,156
나사,91,198
하자,51,186
파파,66,171
사자,77,163
자타,68,141
다나,41,176
바타,64,192
아라,56,183
하나,68,177
나다,69,175
다마,86,174
바바,62,157
마하,86,183
나마,59,185
파카,90,143
하나,70,177
타타,63,158
파타,44,193
바사,59,181
차가,90,170
파다,42,190
아라,54,163
타사,67,187
타파,63,187
파파,71,194
다차,83,149
자타,53,151
카타,56,158
파카,93,199
라나,85,167
다사,50,151
바차,50,188
라다,74,164
사바,44,147
라바,94,187
다타,82,161
카하,59,143
마바,70,141
카마,93,143
가차,84,177
자파,59,143
라파,94,189
파파,70,179
라나,84,148
자다,88,144
하다,90,157
바나,49,199
나사,90,145
바자,91,163
자바,68,160
차타,64,192
가나,58,185
바사,91,163
하차,83,143
다바,54,178
차가,89,178
차파,62,194
카마,75,178
자바,59,166
차카,87,141
타아,76,177
마다,89,184
카바,92,142
바아,43,175
라사,50,182
사차,95,143
가마,70,152
파타,75,169
타바,86,161
카라,40,160
라자,54,197
아카,95,189
사사,80,158
다가,87,161
가파,87,160
나파,86,189
마파,71,164
가아,95,176
다아,92,195
아자,70,144
가파,97,152
카아,81,159
마마,61,189
마라,47,176
파타,86,188
자하,96,193
카나,80,179
나마,86,164
다다,55,167
라사,48,144
나바,87,179
바나,47,157
아사,98,144
파마,46,150
파바,74,194
다차,83,162
사차,90,169
다차,58,183
아타,74,140
차사,63,187
가카,60,178
바나,47,190
나다,77,185
차타,87,142
나가,49,199
아가,78,198
카카,99,159
하사,98,183
차사,81,184
카라,41,145
사나,84,156
라가,64,172
나라,85,147
가자,60,146
바바,91,179
가마,77,185
바파,53,187
라하,41,196
차다,49,185
가하,99,144
나바,84,173
사파,99,151
가카,54,163
하다,54,181
파바,51,156
카가,82,178
아바,64,193
사아,60,184
파바,86,191
바나,73,163
하카,47,173
자바,61,146
아다,88,198
차차,89,142
아파,99,155
바카,69,165
자라,87,194
가타,75,198
바하,70,198
다아,89,152
차다,76,156
마사,68,173
차자,74,182
바차,67,175
다라,99,194
아나,64,172
가자,86,160
가하,52,148
카라,93,180
타차,89,151
마타,64,186
파타,87,177
가아,60,169
타자,74,142
나카,70,144
타다,75,147
나타,79,172
마사,86,187
아가,84,169
타라,45,185
자차,64,163
자사,68,144
타바,67,177
바차,71,195
타아,64,185
파차,70,197
가차,71,158
자자,45,188
나사,58,142
자자,42,183
사바,62,158
나파,68,170
라마,85,196
자카,47,194
하가,71,185
타타,46,154
마하,84,164
다마,59,170
파나,45,185
사사,85,158
마하,91,157
파사,43,174
다파,70,171
파타,47,162
가차,56,143
사하,64,191
마다,41,193
사바,70,161
바아,68,182
아바,69,168
차파,50,147
다라,76,179
사아,44,184
라사,66,190
자바,67,140
사다,98,162
카가,45,177
다다,73,142
마바,73,185
바파,49,191
파파,65,162
자라,49,171
다타,56,196
라카,73,150
카가,60,175
차카,79,181
아하,52,189
바가,88,197
가하,98,199
카아,78,162
아라,58,146
파마,63,174
카바,98,161
라사,47,185
다아,73,153
나아,49,162
사다,73,191
차자,43,154
나파,97,181
타바,82,177
라바,82,186
다하,85,159
마아,85,149
마라,71,159
사라,57,141
파아,78,170
카차,71,159
카차,48,149
라타,53,196
가하,52,170
가가,52,160
마가,53,158
사마,41,152
바라,42,181
아사,87,176
바하,95,190
사다,72,157
하가,59,161
바타,43,181
마자,47,193
카타,88,161
바사,60,186
아타,88,169
나하,85,159
가나,49,181
가다,65,177
자타,72,169
아사,88,195
마마,95,161
아사,73,163
바차,48,162
하타,99,173
카나,74,173
카자,70,157
사파,68,183
마카,57,191
가라,74,166
차아,82,178
바마,51,187
가바,49,178
자차,98,161
차마,85,146
바마,49,147
다파,61,163
마카,52,187
하타,87,191
차아,99,196
사파,93,140
아차,43,183
사나,52,186
하차,64,183
아카,45,151
다다,55,187
차나,77,192
자타,54,198
차사,75,167
타사,56,158
라가,47,171
바마,55,142
라파,67,145
마타,68,171
라카,55,168
다가,96,187
카파,90,180
차나,60,168
카차,75,160
타하,71,182
라차,80,160
아라,73,198
바카,70,142
카바,53,150
카바,87,175
사바,97,157
바자,48,199
차사,61,162
다자,89,183
나차,90,197
파마,65,198
카마,73,184
바라,87,153
차라,82,155
파가,97,183
가타,59,147
자하,89,148
파나,87,187
자파,63,152
사차,68,165
파사,98,198
아다,50,158
바나,62,177
아가,89,150
라타,58,143
마타,99,177
하차,90,150
타라,64,196
사하,79,169
타가,64,142
라아,98,143
파나,96,152
타다,87,174
자차,49,146
마차,58,151
자카,93,154
차자,67,197
차바,59,145
파다,70,190
타바,87,140
자사,95,194
라차,92,178
나타,63,146
라타,66,182
사다,55,178
마라,89,142
라자,92,163
마마,75,194
다파,87,193
아가,40,173
다다,91,164
아하,87,157
카타,65,143
바차,77,144
카타,57,192
차차,90,170
다마,75,181
다아,42,144
다가,40,148
자사,98,180
차하,73,147
바하,78,152
가자,83,159
자바,40,157
마아,96,185
카다,69,149
파사,61,152
나나,71,179
다파,49,182
사아,55,154
자파,42,148
가차,60,170
라가,70,141
라다,69,175
사다,99,195
마나,87,153
파하,86,150
마바,69,166
아하,88,143
라카,98,149
바가,72,192
바마,94,187
자나,95,162
아라,42,180
다나,44,175
나타,72,169
가다,45,149
차다,89,163
나사,79,178
마파,83,171
아타,85,171
가마,86,144
바차,49,198
라바,75,191
타마,74,198
다라,46,198
타사,52,161
라카,97,177
나다,61,142
차자,75,192
나마,92,188
타가,79,161
마아,64,191
타하,65,147
타차,63,164
마나,58,160
아자,76,149
파파,75,145
타다,97,167
나파,81,197
카자,92,180
다카,61,166
라라,55,184
나아,83,163
사사,53,178
다자,54,145
가카,92,189
자자,57,195
라자,43,193
하자,93,198
차라,71,187
사아,95,149
차사,75,161
바파,81,197
나자,64,197
마바,54,195
사마,44,191
자하,85,174
카사,70,149
카차,58,148
사타,94,160
사라,57,181
사바,50,183
차가,73,159
마바,54,179
자자,78,146
카자,64,183
파카,87,141
파하,70,142
가마,81,153
나가,63,142
타자,98,155
바타,46,184
사가,65,149
아아,57,142
사아,85,157
다마,75,187
파다,76,162
나아,40,176
사바,74,157
카마,94,154
타사,88,143
가바,44,192
다자,96,186
하가,44,184
나타,71,150
자하,77,189
차파,67,188
나파,70,174
차차,80,144
하카,61,167
하가,55,144
가차,79,181
가다,59,172
바아,79,170
카바,43,153
마타,71,158
라다,72,168
차타,82,150
아파,99,170
파마,53,163
아타,51,159
카자,46,189
마나,68,189
다아,42,196
라차,41,180
마다,77,157
아마,70,175
가바,88,184
아타,84,184
아타,67,187
자아,60,185
타차,83,152
나다,66,189
타나,92,155
마마,93,165
다타,98,195
다타,45,157
타자,74,141
카카,43,185
라나,90,175
다다,88,160
카마,92,155
마바,71,185
바사,49,195
바차,59,158
하나,50,149
아라,68,160
다다,94,191
타하,52,187
나파,46,156
바하,87,160
타사,46,174
사나,73,145
자사,98,147
차타,53,145
차차,75,167
하타,66,188
마차,50,193
자가,99,192
가가,98,145
바카,88,148
아하,75,197
하라,52,187
하다,50,184
차하,65,194
하라,45,147
나가,79,172
마파,90,181
마하,59,153
가나,84,187
하파,64,199
자파,54,145
하사,76,193
다마,49,165
마하,45,155
자나,97,191
아아,68,143
자다,68,187
다바,51,178
사다,62,194
자가,51,168
다차,61,172
타라,64,171
자마,71,181
차사,47,168
타카,77,160
가라,74,155
아차,67,183
가파,71,148
차바,81,170
하타,80,171
다사,79,164
파라,55,184
파아,91,190
파파,51,157
자타,57,187
가가,98,143
타아,63,195
타카,47,185
가다,43,177
나카,61,165
자차,56,149
아자,76,154
사카,57,199
가아,80,142
라카,57,191
차사,41,156
자라,73,142
차다,46,149
아아,55,150
마가,93,144
카가,71,192
하카,99,142
나자,79,188
마하,60,158
아마,60,160
타바,58,156
하라,69,190
라사,49,179
파차,65,144
아하,56,194
바차,72,191
바가,97,181
나타,63,182
파라,63,183
하하,88,145
하가,44,159
차타,98,188
하자,45,197
마타,67,149
하바,59,154
가파,72,191
카아,44,172
하사,63,179
카마,76,185
자파,84,180
마라,66,179
라하,67,141
카아,67,145
사파,40,176
자자,76,161
바마,89,157
다차,40,167
아다,56,166
타가,50,169
마파,76,181
다파,89,143
나하,85,199
자카,50,166
자가,77,154
카아,50,191
타나,79,178
파차,49,161
차아,98,143
나바,98,145
가하,83,174
라차,84,151
가차,42,193
카바,50,187
자하,77,146
다자,68,163
가나,50,195
차타,81,179
나파,49,155
바가,72,170
마사,86,165
파바,82,145
카바,47,178
아라,56,177
바차,90,144
하파,61,148
파다,71,197
자하,96,170
사마,41,170
다사,99,161
라사,49,181
사다,97,154
자가,93,184
가나,71,192
바사,63,141
자아,56,162
카라,48,168
다바,58,148
라라,86,195
마차,59,147
